friday,monday,btc_friday_1600_et,btc_monday_0930_et,scan_btc_return_pct
2024-08-02,2024-08-05,62557.76,49729.53,-20.50621697452083
2025-02-28,2025-03-03,84155.14,93167.48,10.709197322944263
2024-07-12,2024-07-15,57601.72,62806.89,9.036483632780401
2025-04-04,2025-04-07,83963.41,76823.0,-8.50419248098666
2024-04-05,2024-04-08,67375.18,72170.0,7.116596942672371
2026-01-30,2026-02-02,83738.01,77955.0,-6.906075269761002
2024-11-08,2024-11-11,76709.7,81820.29,6.662247408085276
2025-01-31,2025-02-03,101599.51,94857.9,-6.635474915184137
2025-11-28,2025-12-01,91222.03,86234.23,-5.467758172011738
2026-06-05,2026-06-08,60264.11,63536.42,5.429948272694962
2026-06-12,2026-06-15,63552.05,66798.5,5.108332461344678
2025-03-07,2025-03-10,86941.69,82651.68,-4.934353127941282
2024-06-28,2024-07-01,59960.34,62869.39,4.851623589859577
2024-03-22,2024-03-25,63874.23,66945.87,4.808887715750143
2024-06-21,2024-06-24,64186.43,61229.98,-4.606035886401527
2025-08-22,2025-08-25,116645.36,111648.86,-4.28349657457442
2024-03-08,2024-03-11,69333.08,72270.74,4.2370250968224665
2025-10-24,2025-10-27,110624.01,115128.0,4.071439825766587
2025-10-17,2025-10-20,106490.41,110777.93,4.026202922873523
2025-03-21,2025-03-24,83917.88,87287.29,4.015127646217942
2025-01-10,2025-01-13,94664.69,90875.18,-4.003087106713188
2025-01-24,2025-01-27,104872.0,100780.54,-3.901384544969111
2024-03-01,2024-03-04,62981.25,65395.7,3.8336012702193
2026-03-13,2026-03-16,71190.64,73912.81,3.8237751479688775
2024-09-06,2024-09-09,53478.7,55409.9,3.611157339277149
2024-05-10,2024-05-13,60652.05,62801.38,3.54370544771363
2026-01-02,2026-01-05,89692.01,92716.0,3.3715266276226785
2024-10-25,2024-10-28,66725.35,68904.07,3.2652058025922637
2024-05-31,2024-06-03,67576.47,69698.55,3.140264651290603
2025-06-06,2025-06-09,104309.01,107571.61,3.12782184396152
2025-07-11,2025-07-14,118191.07,121723.05,2.9883645185714958
2025-05-02,2025-05-05,96971.8,94175.99,-2.883116534910146
2026-04-17,2026-04-20,77453.08,75231.53,-2.8682526246858187
2026-04-10,2026-04-13,73286.01,71200.47,-2.845754599001904
2026-03-27,2026-03-30,65977.24,67829.39,2.8072559567511313
2025-09-26,2025-09-29,109216.01,112222.2,2.75251769406335
2024-04-19,2024-04-22,64350.92,66107.0,2.7289120342024686
2025-08-08,2025-08-11,116468.28,119514.07,2.615124049226103
2026-08-21,2026-08-24,77003.92,79003.98,2.5973482908402623
2024-12-13,2024-12-16,101732.71,104353.32,2.575975809550335
2024-09-27,2024-09-30,65664.44,63974.41,-2.5737370180877184
2024-10-11,2024-10-14,63089.11,64706.48,2.5636278590710937
2024-12-06,2024-12-09,101564.39,99048.91,-2.476734217573695
2026-02-20,2026-02-23,67730.14,66073.29,-2.446252141218086
2024-07-26,2024-07-29,68008.08,69663.37,2.4339607881886938
2024-05-03,2024-05-06,62076.19,63563.5,2.3959427922364496
2024-01-19,2024-01-22,41558.03,40579.32,-2.3550442597976784
2026-05-15,2026-05-18,79093.63,77231.44,-2.354412106259385
2025-11-07,2025-11-10,103750.0,106168.75,2.331325301204812
2026-05-29,2026-06-01,73404.1,71711.45,-2.305933864729637
2025-12-05,2025-12-08,89334.92,91359.84,2.266661233927336
2026-07-10,2026-07-13,63878.4,62455.07,-2.228186679691413
2025-12-19,2025-12-22,88035.56,89925.98,2.1473368261643255
2024-11-22,2024-11-25,99379.16,97312.99,-2.0790777462800003
2024-09-13,2024-09-16,59753.99,58519.56,-2.0658536777209413
2025-06-20,2025-06-23,103326.33,101194.06,-2.0636269574270227
2025-02-07,2025-02-10,95776.2,97739.88,2.050279714584624
2025-10-31,2025-11-03,109756.0,107519.59,-2.037619811217617
2026-01-23,2026-01-26,89395.93,87584.77,-2.025998275312968
2025-03-14,2025-03-17,84569.77,82933.4,-1.9349349064092358
2024-04-26,2024-04-29,63708.0,62487.31,-1.9160701952659065
2025-10-10,2025-10-13,116673.01,114445.64,-1.909070486824671
2024-08-09,2024-08-12,60702.77,59544.65,-1.9078536284258485
2025-09-19,2025-09-22,115165.99,113026.04,-1.858144057981015
2025-10-03,2025-10-06,122768.42,124907.96,1.7427445918095197
2025-11-21,2025-11-24,84492.0,85888.4,1.6527008474175098
2025-07-25,2025-07-28,116721.63,118604.08,1.6127687730200346
2024-12-27,2024-12-30,94446.73,92936.04,-1.5995154093741526
